 age, marital_status, education_level,gender,percent_hike,distance_from_home,sourcing_channel,total_rounds,date_1st_contact,date_offered,satisfaction_index,no_companies_worked,career_growth,flexi_work,total_experience,timely_communication,offer_dropped
25,married,Associate Degree,Female,22,> 20 kms,Social Media,8,10/20/15,3/24/16,19,2,Lateral,Yes,1,No,Yes
39,single,Associate Degree,Female,23,> 20 kms,Consultants,10,11/24/15,5/22/16,29,5,Lateral,Yes,15,No,Yes
27,married,Associate Degree,Female,22,<15 kms,Internal Referrals,9,9/13/15,2/21/16,24,5,Lateral,Yes,3,No,Yes
44,married,Master Degree,Female,38,<15 kms,Job Portals,10,3/14/15,8/2/15,15,6,Lateral,Yes,20,No,Yes
36,married,Associate Certification,Female,25,> 20 kms,Consultants,10,5/2/16,6/1/16,82,8,Vertical,No,12,No,No
43,married,Master Degree,Female,26,> 20 kms,Job Portals,8,2/6/15,7/31/15,20,5,Lateral,Yes,19,No,Yes
26,married,Bachelor Degree,Female,35,> 20 kms,Social Media,10,8/12/15,8/27/15,35,2,Vertical,No,2,No,No
36,single,Associate Certification,Female,36,> 20 kms,Consultants,8,8/20/15,8/24/15,91,7,Lateral,No,12,No,No
42,married,Bachelor Degree,Female,18,<15 kms,Job Portals,10,7/15/15,1/9/16,15,7,Lateral,Yes,18,No,Yes
43,married,Bachelor Degree,Female,19,15-20 kms,Job Portals,4,7/16/15,8/16/15,82,3,Vertical,Yes,19,Yes,No
46,married,Master Degree,Female,28,> 20 kms,Consultants,4,3/2/16,4/5/16,74,8,Vertical,No,22,No,No
35,married,Associate Degree,Female,25,<15 kms,Consultants,9,3/11/15,9/5/15,26,4,Lateral,Yes,11,No,Yes
29,married,Bachelor Degree,Female,20,<15 kms,Job Portals,5,3/14/16,4/16/16,75,5,Vertical,No,5,Yes,No
44,married,Bachelor Degree,Female,38,<15 kms,Job Portals,3,6/19/15,6/27/15,88,4,Vertical,No,20,Yes,No
33,single,Bachelor Degree,Female,23,> 20 kms,Internal Referrals,9,2/1/16,6/28/16,22,6,Lateral,Yes,9,No,Yes
30,married,Bachelor Degree,Female,25,<15 kms,Job Portals,10,3/31/15,8/23/15,19,5,Lateral,Yes,6,No,Yes
36,married,Associate Certification,Female,29,> 20 kms,Company Website,4,1/11/15,1/26/15,60,8,Vertical,Yes,12,Yes,No
43,single,Associate Certification,Female,36,<15 kms,Job Portals,5,7/10/15,7/28/15,95,3,Lateral,No,19,No,No
27,married,Associate Degree,Female,23,15-20 kms,Job Portals,10,7/17/15,8/25/15,58,3,Lateral,No,3,Yes,No
37,divorced,Bachelor Degree,Female,33,> 20 kms,Consultants,8,6/24/15,12/21/15,19,3,Lateral,Yes,10,No,Yes
27,married,Associate Certification,Female,18,> 20 kms,Consultants,8,1/5/15,5/29/15,15,4,Lateral,Yes,3,No,Yes
35,married,Master Degree,Female,23,> 20 kms,Internal Referrals,9,6/11/16,11/1/16,19,5,Lateral,Yes,11,No,Yes
31,married,Associate Degree,Female,20,> 20 kms,Internal Referrals,9,6/1/16,11/27/16,18,5,Lateral,Yes,7,No,Yes
27,divorced,Associate Certification,Female,27,15-20 kms,Company Website,5,9/17/15,10/15/15,36,4,Lateral,Yes,3,Yes,No
30,married,Associate Certification,Female,39,> 20 kms,Social Media,9,6/5/15,7/11/15,38,5,Lateral,No,6,No,No
37,married,Master Degree,Female,35,> 20 kms,Internal Referrals,8,6/9/15,11/28/15,24,5,Lateral,Yes,13,No,Yes
41,married,Bachelor Degree,Female,28,> 20 kms,Job Portals,9,6/19/15,12/4/15,22,4,Lateral,Yes,17,No,Yes
40,married,Associate Certification,Female,21,15-20 kms,Consultants,6,10/15/15,11/10/15,84,6,Vertical,Yes,16,Yes,No
41,married,Associate Certification,Female,19,> 20 kms,Consultants,9,9/22/15,3/8/16,18,5,Lateral,Yes,17,No,Yes
35,married,Bachelor Degree,Female,31,> 20 kms,Consultants,10,3/14/16,8/10/16,27,4,Lateral,Yes,11,No,Yes
27,married,Associate Degree,Female,16,15-20 kms,Consultants,6,3/26/16,4/28/16,49,4,Lateral,No,3,No,No
26,married,Associate Degree,Female,22,> 20 kms,Job Portals,9,1/21/16,6/10/16,24,1,Lateral,Yes,2,No,Yes
26,single,Associate Degree,Female,39,<15 kms,Company Website,9,4/30/15,5/30/15,28,1,Lateral,Yes,2,No,No
27,divorced,Associate Degree,Female,39,<15 kms,Social Media,9,1/12/15,2/15/15,72,5,Lateral,Yes,6,Yes,No
41,married,Associate Degree,Female,25,> 20 kms,Social Media,3,4/30/15,5/26/15,76,7,Lateral,Yes,17,Yes,No
33,married,Associate Certification,Female,18,<15 kms,Consultants,8,7/4/15,12/4/15,21,6,Lateral,Yes,9,No,Yes
31,married,Bachelor Degree,Female,20,> 20 kms,Internal Referrals,9,5/25/15,11/12/15,28,5,Lateral,Yes,7,No,Yes
44,married,Associate Certification,Female,18,<15 kms,Consultants,9,6/27/15,8/6/15,65,4,Vertical,No,20,No,No
37,married,Bachelor Degree,Female,38,> 20 kms,Social Media,8,11/14/15,4/19/16,26,6,Lateral,Yes,13,No,Yes
26,married,Associate Certification,Female,30,> 20 kms,Job Portals,10,4/25/16,10/22/16,24,1,Lateral,Yes,2,No,Yes
39,married,Associate Certification,Female,22,> 20 kms,Job Portals,8,6/19/15,11/30/15,19,4,Lateral,Yes,9,No,Yes
36,married,Associate Degree,Female,37,<15 kms,Internal Referrals,8,2/15/16,7/5/16,15,5,Lateral,Yes,12,No,Yes
38,married,Master Degree,Female,24,> 20 kms,Social Media,9,10/20/15,4/4/16,25,8,Lateral,Yes,14,No,Yes
38,married,Master Degree,Female,33,> 20 kms,Consultants,10,10/29/15,3/30/16,17,4,Lateral,Yes,14,No,Yes
33,married,Associate Certification,Female,29,> 20 kms,Job Portals,9,3/14/16,3/29/16,50,5,Lateral,No,9,Yes,No
33,divorced,Associate Degree,Female,40,15-20 kms,Job Portals,3,5/30/16,6/29/16,36,4,Vertical,No,9,No,No
29,single,Associate Certification,Female,28,<15 kms,Social Media,9,6/3/16,11/5/16,21,4,Lateral,Yes,5,No,Yes
36,married,Associate Certification,Female,25,<15 kms,Social Media,9,6/16/15,11/28/15,18,4,Lateral,Yes,12,No,Yes
42,married,Master Degree,Female,18,> 20 kms,Job Portals,3,3/21/16,4/2/16,47,3,Vertical,No,18,Yes,No
40,married,Associate Certification,Female,33,> 20 kms,Consultants,10,4/2/16,8/20/16,19,4,Lateral,Yes,10,No,Yes
28,married,Associate Degree,Female,18,<15 kms,Company Website,3,9/22/15,10/14/15,27,4,Vertical,No,4,Yes,No
43,divorced,Associate Certification,Female,39,> 20 kms,Social Media,9,2/23/16,3/31/16,47,8,Lateral,No,19,Yes,No
37,divorced,Bachelor Degree,Female,27,<15 kms,Social Media,7,6/8/15,7/18/15,87,5,Vertical,Yes,13,Yes,No
41,single,Associate Degree,Female,17,15-20 kms,Consultants,7,9/13/15,10/12/15,58,6,Lateral,Yes,17,No,No
36,married,Master Degree,Female,37,> 20 kms,Internal Referrals,8,12/24/15,6/2/16,24,3,Lateral,Yes,12,No,Yes
29,married,Associate Degree,Female,23,<15 kms,Social Media,9,12/19/15,6/7/16,26,5,Lateral,Yes,5,No,Yes
37,married,Associate Certification,Female,37,<15 kms,Job Portals,6,6/24/15,7/25/15,42,7,Lateral,No,13,No,No
25,married,Associate Certification,Female,17,> 20 kms,Job Portals,10,4/15/15,9/4/15,23,1,Lateral,Yes,1,No,Yes
41,divorced,Associate Certification,Female,36,15-20 kms,Social Media,8,7/23/15,8/2/15,37,6,Vertical,No,17,No,No
45,married,Associate Degree,Female,37,15-20 kms,Job Portals,8,7/16/15,7/31/15,80,5,Lateral,Yes,21,Yes,No
39,divorced,Master Degree,Female,19,> 20 kms,Social Media,9,2/27/16,8/15/16,28,6,Lateral,Yes,15,No,Yes
28,married,Associate Certification,Female,40,<15 kms,Social Media,6,12/24/15,1/23/16,86,4,Vertical,Yes,4,No,No
44,married,Associate Certification,Female,16,> 20 kms,Job Portals,10,7/18/15,1/9/16,29,5,Lateral,Yes,20,No,Yes
34,married,Associate Degree,Female,28,> 20 kms,Internal Referrals,9,3/23/16,8/14/16,30,6,Lateral,Yes,10,No,Yes
32,divorced,Bachelor Degree,Female,23,<15 kms,Social Media,9,8/2/15,1/6/16,17,8,Lateral,Yes,8,No,Yes
30,divorced,Associate Certification,Female,37,15-20 kms,Consultants,3,4/11/15,4/28/15,75,4,Lateral,Yes,6,Yes,No
41,married,Associate Certification,Female,20,<15 kms,Consultants,10,10/15/15,3/22/16,15,5,Lateral,Yes,17,No,Yes
35,divorced,Bachelor Degree,Female,33,> 20 kms,Job Portals,10,12/17/15,5/15/16,20,8,Lateral,Yes,11,No,Yes
39,married,Associate Degree,Female,21,> 20 kms,Consultants,8,4/26/15,9/25/15,19,4,Lateral,Yes,9,No,Yes
27,divorced,Associate Certification,Female,20,> 20 kms,Company Website,4,12/17/15,1/17/16,29,5,Lateral,No,6,Yes,No
28,married,Associate Certification,Female,36,> 20 kms,Social Media,6,3/31/15,4/16/15,42,3,Vertical,No,4,Yes,No
41,married,Master Degree,Female,34,<15 kms,Job Portals,10,3/31/15,9/6/15,24,4,Lateral,Yes,11,No,Yes
44,married,Associate Certification,Female,19,<15 kms,Job Portals,10,5/10/15,5/25/15,57,3,Lateral,Yes,20,Yes,No
37,married,Associate Certification,Female,21,<15 kms,Company Website,3,10/16/15,10/28/15,85,5,Lateral,No,13,No,No
27,married,Associate Certification,Female,18,> 20 kms,Job Portals,3,7/31/15,9/7/15,88,4,Lateral,Yes,3,Yes,No
42,divorced,Master Degree,Female,25,<15 kms,Job Portals,5,11/13/15,12/1/15,57,3,Lateral,No,18,Yes,No
36,married,Master Degree,Female,39,<15 kms,Social Media,3,5/22/15,6/16/15,72,3,Lateral,Yes,12,No,No
29,married,Bachelor Degree,Female,39,<15 kms,Job Portals,7,2/8/15,2/24/15,66,5,Vertical,Yes,5,No,No
30,married,Associate Certification,Female,18,> 20 kms,Company Website,7,3/29/15,5/2/15,51,5,Vertical,Yes,6,Yes,No
33,married,Bachelor Degree,Female,17,<15 kms,Job Portals,8,1/27/16,2/9/16,40,3,Vertical,No,9,No,No
25,married,Associate Degree,Female,29,> 20 kms,Social Media,10,3/31/15,9/17/15,30,1,Lateral,Yes,1,No,Yes
37,married,Associate Certification,Female,38,<15 kms,Internal Referrals,10,8/20/15,1/19/16,28,5,Lateral,Yes,13,No,Yes
36,married,Bachelor Degree,Female,39,> 20 kms,Social Media,3,7/5/15,7/9/15,56,3,Vertical,Yes,12,Yes,No
43,divorced,Master Degree,Female,12,> 20 kms,Consultants,8,3/13/15,3/30/15,77,3,Vertical,No,19,Yes,No
42,married,Associate Degree,Female,23,15-20 kms,Company Website,3,4/2/16,4/30/16,77,8,Lateral,Yes,18,Yes,No
43,married,Master Degree,Female,31,> 20 kms,Job Portals,8,4/5/15,9/19/15,20,7,Lateral,Yes,19,No,Yes
36,married,Master Degree,Female,38,> 20 kms,Social Media,9,3/21/15,8/25/15,25,3,Lateral,Yes,8,No,Yes
31,married,Associate Degree,Female,16,<15 kms,Job Portals,9,11/10/15,12/14/15,53,4,Lateral,No,7,Yes,No
32,single,Bachelor Degree,Female,27,15-20 kms,Social Media,4,8/25/15,9/30/15,63,6,Vertical,No,8,Yes,No
27,married,Associate Degree,Female,34,<15 kms,Social Media,8,7/13/15,1/2/16,19,4,Lateral,Yes,3,No,Yes
35,married,Associate Certification,Female,28,<15 kms,Company Website,10,8/16/15,9/4/15,73,8,Vertical,Yes,11,Yes,No
33,married,Associate Degree,Female,34,> 20 kms,Internal Referrals,8,1/8/15,6/22/15,29,3,Lateral,Yes,9,No,Yes
38,divorced,Bachelor Degree,Female,20,<15 kms,Company Website,7,1/19/16,2/21/16,55,6,Vertical,No,14,No,No
26,married,Associate Degree,Female,16,<15 kms,Job Portals,3,12/24/15,1/20/16,31,1,Lateral,No,2,Yes,No
42,married,Associate Certification,Female,24,<15 kms,Job Portals,10,3/31/15,9/9/15,20,8,Lateral,Yes,18,No,Yes
39,single,Bachelor Degree,Female,16,<15 kms,Social Media,8,2/4/15,7/11/15,26,4,Lateral,Yes,9,No,Yes
40,married,Bachelor Degree,Female,33,<15 kms,Job Portals,10,2/3/15,6/29/15,16,4,Lateral,Yes,16,No,Yes
34,married,Bachelor Degree,Female,35,> 20 kms,Social Media,9,9/17/15,3/5/16,17,7,Lateral,Yes,10,No,Yes
44,married,Associate Certification,Female,10,> 20 kms,Job Portals,3,10/25/15,10/26/15,43,4,Lateral,Yes,20,Yes,No
45,married,Associate Degree,Female,11,<15 kms,Company Website,4,8/29/15,9/14/15,60,8,Vertical,Yes,21,Yes,No
39,divorced,Bachelor Degree,Female,13,<15 kms,Job Portals,10,8/25/15,9/13/15,79,5,Lateral,Yes,15,No,No
33,married,Master Degree,Female,19,<15 kms,Consultants,8,5/12/15,9/29/15,24,3,Lateral,Yes,5,No,Yes
38,married,Master Degree,Female,37,> 20 kms,Social Media,8,10/16/15,3/18/16,15,6,Lateral,Yes,14,No,Yes
41,married,Bachelor Degree,Female,18,<15 kms,Consultants,8,6/16/15,12/10/15,20,8,Lateral,Yes,17,No,Yes
42,married,Master Degree,Female,40,> 20 kms,Internal Referrals,9,5/3/16,10/18/16,18,7,Lateral,Yes,18,No,Yes
45,married,Associate Degree,Female,31,> 20 kms,Social Media,10,9/13/15,3/11/16,17,8,Lateral,Yes,21,No,Yes
36,single,Associate Degree,Female,28,<15 kms,Job Portals,10,6/16/15,11/4/15,20,7,Lateral,Yes,12,No,Yes
36,married,Associate Certification,Female,21,> 20 kms,Job Portals,10,2/20/16,7/26/16,17,3,Lateral,Yes,12,No,Yes
27,single,Bachelor Degree,Female,11,<15 kms,Social Media,4,8/7/15,8/22/15,91,5,Lateral,Yes,6,No,No
31,single,Bachelor Degree,Female,28,<15 kms,Consultants,4,10/20/15,11/26/15,59,5,Vertical,Yes,7,No,No
39,married,Master Degree,Female,36,> 20 kms,Job Portals,10,9/22/15,3/8/16,23,4,Lateral,Yes,15,No,Yes
35,married,Associate Degree,Female,17,> 20 kms,Consultants,9,5/3/16,10/26/16,18,8,Lateral,Yes,11,No,Yes
35,divorced,Associate Degree,Female,31,> 20 kms,Consultants,10,8/6/15,1/14/16,30,4,Lateral,Yes,11,No,Yes
42,married,Bachelor Degree,Female,12,> 20 kms,Consultants,7,8/16/15,9/2/15,51,7,Vertical,No,18,No,No
44,married,Bachelor Degree,Female,25,> 20 kms,Consultants,9,10/20/15,3/17/16,24,8,Lateral,Yes,20,No,Yes
45,divorced,Associate Degree,Female,17,<15 kms,Job Portals,9,7/23/15,1/6/16,19,6,Lateral,Yes,21,No,Yes
26,married,Associate Certification,Female,29,> 20 kms,Consultants,8,12/25/15,6/4/16,17,2,Lateral,Yes,2,No,Yes
31,divorced,Associate Degree,Female,17,> 20 kms,Job Portals,9,2/13/16,7/28/16,23,4,Lateral,Yes,7,No,Yes
27,married,Associate Degree,Female,39,<15 kms,Consultants,9,2/13/16,8/9/16,21,4,Lateral,Yes,3,No,Yes
42,married,Associate Degree,Female,22,> 20 kms,Social Media,9,3/14/16,8/10/16,30,3,Lateral,Yes,7,No,Yes
43,married,Associate Degree,Female,20,15-20 kms,Company Website,9,3/29/16,4/13/16,91,7,Vertical,Yes,19,No,No
43,single,Associate Degree,Female,18,> 20 kms,Job Portals,10,2/2/16,2/8/16,53,3,Lateral,No,19,Yes,No
35,married,Master Degree,Female,25,> 20 kms,Internal Referrals,8,9/13/15,2/9/16,16,8,Lateral,Yes,11,No,Yes
30,married,Bachelor Degree,Female,12,<15 kms,Consultants,7,12/25/15,1/23/16,27,3,Vertical,No,6,No,No
37,married,Master Degree,Female,12,<15 kms,Job Portals,6,3/27/15,4/7/15,58,7,Vertical,No,13,Yes,No
28,single,Associate Degree,Female,26,15-20 kms,Job Portals,7,10/27/15,11/29/15,54,4,Vertical,Yes,4,Yes,No
34,married,Bachelor Degree,Female,27,<15 kms,Job Portals,8,6/25/15,11/14/15,25,3,Lateral,Yes,6,No,Yes
34,married,Bachelor Degree,Female,10,> 20 kms,Consultants,4,5/16/15,6/12/15,37,7,Vertical,Yes,10,No,No
36,married,Bachelor Degree,Female,20,> 20 kms,Internal Referrals,10,4/5/15,9/11/15,18,8,Lateral,Yes,12,No,Yes
35,married,Associate Degree,Female,18,<15 kms,Job Portals,5,10/16/15,11/20/15,32,7,Lateral,No,11,Yes,No
39,married,Associate Degree,Female,17,15-20 kms,Job Portals,6,6/24/15,7/18/15,57,6,Vertical,No,15,No,No
30,married,Associate Certification,Female,10,15-20 kms,Consultants,6,6/11/15,7/10/15,93,3,Vertical,No,6,Yes,No
42,married,Associate Certification,Female,12,> 20 kms,Job Portals,10,12/9/15,12/10/15,31,8,Vertical,Yes,18,No,No
41,married,Master Degree,Female,14,> 20 kms,Social Media,6,1/11/15,1/26/15,54,7,Vertical,No,17,No,No
26,married,Associate Degree,Female,13,15-20 kms,Social Media,3,1/5/15,2/8/15,29,1,Vertical,No,2,Yes,No
34,married,Associate Certification,Female,28,> 20 kms,Consultants,8,11/12/15,4/5/16,26,5,Lateral,Yes,10,No,Yes
40,married,Associate Degree,Female,19,15-20 kms,Social Media,3,2/15/16,3/10/16,52,7,Vertical,Yes,16,Yes,No
26,married,Associate Degree,Female,19,> 20 kms,Consultants,9,4/3/16,4/5/16,33,2,Lateral,No,2,No,No
42,married,Associate Degree,Female,21,> 20 kms,Consultants,10,4/26/15,9/18/15,20,7,Lateral,Yes,18,No,Yes
27,single,Bachelor Degree,Female,17,<15 kms,Social Media,8,6/16/15,6/25/15,31,5,Vertical,No,6,Yes,No
44,divorced,Master Degree,Female,17,> 20 kms,Social Media,3,2/27/16,3/8/16,62,8,Vertical,Yes,20,No,No
46,married,Associate Certification,Female,17,15-20 kms,Social Media,9,6/19/15,7/9/15,67,4,Lateral,Yes,22,Yes,No
35,single,Associate Degree,Female,29,<15 kms,Social Media,4,10/25/15,11/28/15,48,7,Vertical,No,11,Yes,No
25,married,Associate Certification,Female,16,<15 kms,Consultants,9,4/18/15,10/10/15,22,1,Lateral,Yes,1,No,Yes
43,married,Master Degree,Female,18,> 20 kms,Consultants,10,10/16/15,11/13/15,93,3,Vertical,Yes,19,Yes,No
42,single,Associate Degree,Female,16,15-20 kms,Social Media,9,1/15/16,1/25/16,36,5,Lateral,Yes,18,No,No
32,married,Bachelor Degree,Female,23,<15 kms,Social Media,9,3/21/16,9/13/16,29,7,Lateral,Yes,8,No,Yes
25,married,Associate Degree,Female,29,> 20 kms,Social Media,8,2/23/16,3/31/16,92,1,Lateral,No,1,Yes,No
30,married,Associate Certification,Female,18,<15 kms,Consultants,10,3/14/16,8/27/16,16,3,Lateral,Yes,6,No,Yes
44,single,Bachelor Degree,Female,14,15-20 kms,Job Portals,7,12/20/15,12/24/15,79,7,Vertical,Yes,20,Yes,No
40,married,Master Degree,Female,22,<15 kms,Internal Referrals,9,2/12/15,7/7/15,16,4,Lateral,Yes,16,No,Yes
46,married,Master Degree,Female,23,> 20 kms,Social Media,10,9/13/15,10/3/15,68,5,Lateral,No,22,Yes,No
41,married,Master Degree,Female,18,> 20 kms,Job Portals,10,8/29/15,9/4/15,64,6,Lateral,Yes,17,Yes,No
26,single,Bachelor Degree,Female,10,15-20 kms,Consultants,4,10/25/15,11/28/15,92,1,Vertical,Yes,2,No,No
45,single,Master Degree,Female,38,> 20 kms,Consultants,10,9/22/15,3/3/16,29,5,Lateral,Yes,21,No,Yes
38,married,Bachelor Degree,Female,36,<15 kms,Consultants,8,7/8/15,12/26/15,17,6,Lateral,Yes,14,No,Yes
39,single,Associate Certification,Female,37,> 20 kms,Consultants,8,10/29/15,4/2/16,16,4,Lateral,Yes,9,No,Yes
40,single,Bachelor Degree,Female,31,<15 kms,Job Portals,9,10/21/15,3/21/16,27,7,Lateral,Yes,16,No,Yes
45,single,Bachelor Degree,Female,18,15-20 kms,Social Media,3,4/23/15,5/2/15,95,4,Lateral,Yes,21,No,No
38,divorced,Associate Degree,Female,14,15-20 kms,Social Media,3,5/22/15,6/23/15,74,8,Vertical,No,14,No,No
27,married,Associate Degree,Female,14,> 20 kms,Job Portals,4,10/16/15,10/20/15,63,4,Vertical,Yes,3,Yes,No
34,married,Associate Degree,Female,17,<15 kms,Consultants,10,8/17/15,1/22/16,25,3,Lateral,Yes,6,No,Yes
34,married,Associate Certification,Female,19,> 20 kms,Social Media,10,1/12/15,6/2/15,15,6,Lateral,Yes,10,No,Yes
35,married,Master Degree,Female,24,> 20 kms,Social Media,8,12/19/15,6/7/16,20,5,Lateral,Yes,11,No,Yes
33,single,Associate Degree,Female,17,> 20 kms,Social Media,8,4/15/15,10/6/15,19,7,Lateral,Yes,9,No,Yes
45,single,Associate Certification,Female,32,<15 kms,Social Media,9,3/18/16,8/16/16,28,7,Lateral,Yes,21,No,Yes
45,married,Master Degree,Female,12,> 20 kms,Consultants,3,12/20/15,1/17/16,54,5,Lateral,Yes,21,No,No
